Rating,Reviews,Timestamp,Delivery/Dining
5,It had no coffee just ice,yesterday,DELIVERY
3,NAN,yesterday,DELIVERY
4,NAN,2 days ago,DELIVERY
5,NAN,2 days ago,DELIVERY
5,"This review has nothing against Third wave coffee the chain. However, it’s specifically about this Mahim outlet. The staff is extremely unprofessional and upon calling out a mistake, they were ready to blame each other. I’m a strict vegetarian and had ordered for a vegetarian sandwich. However, They served me a chicken sandwich which I even ate. Upon finding something fishy I enquired if it was the right sandwich served and the waitress sheepishly agreed it wasn’t and was quick to blame the preparer. When I said I wanted to speak to the manager, they pointed out to the cashier lying that he was the manager and were not even sorry about their mistake. Being in the hospitality...read more",3 days ago,DELIVERY
5,It doesn’t taste good as compared to other,3 days ago,DELIVERY
4,NAN,4 days ago,DELIVERY
5,NAN,4 days ago,DELIVERY
4,Excellent,6 days ago,DELIVERY
1,The restaurant is not ready to serve even when it is open! We came to grab a coffee because on zomato it was showing Open. But the restaurant people denied service saying the cafe is closed.,7 days ago,DELIVERY
1,"Damn! ~I love the bagel with citrus Brew more now
Been ordering every evening now!
Thanks team",8 days ago,DELIVERY
5,"there was such little cream cheese on the bagel...it was only in the middle. the outer rim of the bagel was just dry, with no egg or cheese, or anything else for that matter. Kind of feels like a ripoff.",8 days ago,DELIVERY
5,NAN,9 days ago,DELIVERY
3,NAN,10 days ago,DELIVERY
1,NAN,11 days ago,DINING
2,the hot coffee was cold by the team it reached and no oat milk for my coffee was really disappointing,13 days ago,DELIVERY
3,NAN,13 days ago,DELIVERY
5,NAN,13 days ago,DELIVERY
5,NAN,16 days ago,DELIVERY
1,NAN,17 days ago,DINING
4,Third wave coffee is a pretty good cafe. Mehjabeen has a sweet gesture of serving. I like visiting this place.,18 days ago,DELIVERY
3,poor service,19 days ago,DELIVERY
5,hazelnut flavour is not prominent,19 days ago,DELIVERY
5,I recently visited this place & was surprised that it was not half as bad as the reviews. I tried their iced caramel machiato & loved it ! Wasn't bitter .... wasn't iced down just an amazing coffee. The ambiance gets a little noisy but great place to catch up with friends or read a book. If you like coffee go for it !,20 days ago,DELIVERY
4,Tried for the first time and loved the quality,22 days ago,DELIVERY
5,Food was totally cold ans not fresh,22 days ago,DELIVERY
4,Seal was broken when I received,22 days ago,DELIVERY
5,NAN,23 days ago,DELIVERY
3,"I love their iced latte, cream cheese bagel & chocolate croissant",23 days ago,DELIVERY
5,less portion of ham,23 days ago,DELIVERY
3,NAN,24 days ago,DELIVERY
2,Excellent food fresh and yum,25 days ago,DELIVERY
4,NAN,27 days ago,DELIVERY
