Rating,Reviews,Timestamp,Delivery/Dining
5,NAN,14 hours ago,DELIVERY
1,NAN,5 days ago,DELIVERY
1,"Quantity was less, I had ordered it previously but it was not matching the taste",7 days ago,DELIVERY
1,I received burnt garlic bread and it was very dry and not soft,7 days ago,DELIVERY
3,NAN,11 days ago,DELIVERY
5,Ordered 2 kind cappucino. Rcvd one cup half filled. Did not xpct this frm CCD,14 days ago,DELIVERY
3,"very minimal filling, definitely not as what is shown in the picture. Disappointed",18 days ago,DELIVERY
1,the quantity seems to have been reduced,24 days ago,DELIVERY
2,Ccd is serving a tea pot but it is only 200ml that is not even half the volume of the pot. Standards to change ? Waste of money if not getting even 3/4th of the volume if you say you serve tea by pot. It’s not fair to pay such a price. Kindly do not use pots or increase the volume at least stop fooling people.,27 days ago,DELIVERY
2,"there was no ice in iced Americano the coffee was tasting like water
worst experience ever 🤢",one month ago,DELIVERY
1,Ice Cream quantity not at all good.. Hardly any cake in it.. And very small scoop of icecream all melted,one month ago,DELIVERY
1,"dint added suger, also not send any suger packet",one month ago,DELIVERY
4,NAN,one month ago,DELIVERY
1,The cups melted,one month ago,DINING
1,"I have had this in a restaurant and now when it's delivered it's completely frozen...
If I can't drink coffee then what's the point....It's extremely disappointing. it's better to order cold coffee from McD they give it better and definitely which can be drunk and not eaten.",one month ago,DELIVERY
3,NAN,one month ago,DELIVERY
2,The cappuccino was too weak .. The packaging was absolutely gorgeous,2 months ago,DELIVERY
5,Make sure that straws are sent with beverages.,2 months ago,DELIVERY
1,NAN,2 months ago,DELIVERY
1,ordered for iced mocha received something else staff is also very rude,2 months ago,DELIVERY
4,broken cup seal. only half cup filled rest empty. definitely food is tampered with. not safe.,2 months ago,DELIVERY
3,NAN,2 months ago,DELIVERY
2,NAN,2 months ago,DELIVERY
1,no cups delivered even after instructions given,2 months ago,DELIVERY
1,both coffee and paneer tikka sandwich were extremely terrible in taste,2 months ago,DELIVERY
1,missing sugar sachets. garlic bread was kinda cold.,2 months ago,DELIVERY
5,cup NOT SEALED. no straw included. no tissues etc inspite of asking for the same. pls do not accept damaged / incomplete deliveries ...this is getting to be a repeated error and no action is being taken,2 months ago,DELIVERY
4,NAN,2 months ago,DELIVERY
2,Full of ice,3 months ago,DELIVERY
