Rating,Reviews,Timestamp,Delivery/Dining
4,NAN,yesterday,DELIVERY
1,very bad coffee. only coconut milk taste,yesterday,DELIVERY
4,Nice ambiance overall good,8 days ago,DINING
5,NAN,9 days ago,DELIVERY
1,NAN,13 days ago,DELIVERY
5,"such a cute place, totally in love with the vegan, keto options! Courteous lovely staff. Absolutely nothing was sub par, it was certainly the most delicious meal I’ve had in restaurants in a very long time. I’m sure the care and craftsmanship is top class. I’m returning as soon as I can to this new fav of mine.
Dishes - Quinoa and brown rice Risotto, Peanut and Pesto keto salad, keto Khau suey noodles and finally carrot walnut cake 🩷",13 days ago,DINING
1,"Spilled packaging, ordered 2 cakes, got both of them spoiled",22 days ago,DELIVERY
5,"This is a nice vegan cafe in Vile Parle West at Juhu!
- Menu: They have some very unique options, which are quite different from other cafes
- Our order (for 4): Berry love smoothie bowl, Avocado Bruschetta, Seek the Carbs, 1 Cappuccino, 1 Hazelnut Cappucino, 1 Mocha
- Food quality: very good, loved the smoothie bowl and the avocado bruschetta was very fresh
- Food quantity: Above order was sufficient for 4 of us for a brunch meal
- Wait time: quick service, took only 10-15 minutes for orders to start rolling in
- Pricing: They levy 10% service charge
- What we liked: very good ambience, prompt service, freshly prepared dishes, valet service was available
- Additional things to keep in...read more",22 days ago,DINING
4,NAN,22 days ago,DELIVERY
3,Very less mayo,23 days ago,DELIVERY
5,NAN,26 days ago,DELIVERY
5,"The food is delicious & healthyyy.
Tried the Falafal wrap, rainbow veggie sandwich and the Jamaican platter.
Loveeed the warm platter.
Also their desserts are a must try and guilt free! Loved the Hazelnut chocolate cake .",26 days ago,DINING
5,NAN,26 days ago,DELIVERY
3,"The tomato basil soup was barely enough for one person and had too much pepper. The quantity can be improved.

The Cubano sandwich had too much pepper and the overall flavour wasn’t balanced.

The Rainbow sandwich was quite nice and flavourful.",27 days ago,DELIVERY
2,Unbearable noisy place. It feels like you’re in a fish market. Bad experience.,one month ago,DINING
2,NAN,one month ago,DELIVERY
4,NAN,one month ago,DELIVERY
1,I experienced being cheated as the strawberry as shown was not there nor was the chai seeds in the watermelon juice,one month ago,DELIVERY
5,NAN,one month ago,DELIVERY
5,NAN,one month ago,DELIVERY
4,NAN,one month ago,DELIVERY
5,NAN,2 months ago,DELIVERY
1,"I asked for extra sour cream, instead they have not put sour cream at all, i need a refund for this.",2 months ago,DELIVERY
4,NAN,2 months ago,DELIVERY
5,NAN,2 months ago,DELIVERY
5,Didn’t like the taste. The salad was bland. And the wrap was too garlicky.,2 months ago,DELIVERY
1,There was less salt. And it wasn’t yummy as usual. Something was missing,2 months ago,DELIVERY
5,NAN,2 months ago,DELIVERY
