Names,Prices,Stars,Votes,Description,Image Source
Combo-bon Bon 350 ML + Papparoti,₹651,₹651,NAN,Bon Bon 350Ml + Paparoti Combo,NAN
Combo-cafe Latte 350 ML + Mix Banana Chips,₹472.50,₹472.50,NAN,Cafe Latte 350 Ml + Mix Banana Chips,NAN
Combo-cappucino 250 ML + Papparoti,₹546,₹546,NAN,Cappucino (250 Ml) + Paparoti Combo,NAN
Combo-original South Indian Frappe 350 ML + Mix Banana Chips,₹577.50,₹577.50,NAN,Original South Indian Frappe 350 ML + Mix Banana Chips,NAN
Combo-south Indian Filter Kaapi 150 ML + Papparoti,₹425.25,₹425.25,NAN,South Indian Filter Kaapi(150 Ml) + Paparoti Combo,NAN
Almond Frappe,₹414.75,₹414.75,8 votes,"Looking for a refreshing and lactose-free beat-the-heat solution? Our Almond Frappe is the perfect answer! Made with creamy almond milk, this indulgent treat is blended to perfection with ice for a smooth and satisfying texture. Whether you're dairy-free or just looking for a new twist on your usual iced coffee, our Almond Frappe is sure to hit the spot. Order now and savor the deliciousness!",NAN
Bon Bon,₹414.75,₹414.75,NAN,"The perfect coffee indulgence for those who love a touch of sweetness. Our expertly crafted coffee is paired with a generous drizzle of condensed milk, creating a delectable combination of flavors that will satisfy any craving. Indulge in the rich and creamy texture of our Bon Bon and experience a little taste of heaven in every sip.",NAN
Classic Frappe,₹378,₹378,18 votes,"Our Classic Frappe is a delicious blend of coffee, milk, and ice that's perfect for any time of day. It's a creamy and refreshing drink that's a must-try for coffee lovers. Get your caffeine fix with this classic beverage.","https://b.zmtcdn.com/data/dish_photos/855/e89539e7d168bbae8a4395ef204eb855.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Hazelnut Frappe,₹414.75,₹414.75,6 votes,"Indulge in the nutty and creamy flavors of our Hazelnut Frappe. Made with a blend of coffee, hazelnut syrup, milk, and ice, this drink is drizzled with caramel sauce and is a perfect treat to satisfy your cravings. Order now to experience the perfect blend of flavors.","https://b.zmtcdn.com/data/dish_photos/825/b3854b7ee7629ce556a9abce1f611825.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Iced Americano,₹252,₹252,NAN,Our Iced Americano is a refreshing and straightforward drink made with espresso and cold water poured over ice. It's a perfect pick-me-up on a hot day.,"https://b.zmtcdn.com/data/dish_photos/e92/6a3393f70574b704558cb034c6f21e92.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Iced Latte,₹309.75,₹309.75,5 votes,Our Iced Americano is a refreshing and straightforward drink made with espresso and ... read more,NAN
Madagascar Chocochip Frappe,₹456.75,₹456.75,5 votes,"Satisfy your chocolate cravings with our Madagascar ChocoChip Frappe. Made with a blend of coffee, chocolate syrup, milk, and ice, this drink is topped with chocolate chips for an added crunch. Order now to indulge in this chocolatey delight.","https://b.zmtcdn.com/data/dish_photos/239/b428f0980366a1aa62b99d522b8d7239.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Nariyal Irish Cream Frappe,₹414.75,₹414.75,6 votes,Treat yourself to the perfect blend of tender coconut and premium coffee with our Nariyal Irish Cream Frappe! This refreshing beverage is blended to precision for a smooth and creamy texture that will tantalize your taste buds. Order now to experience the tropical paradise in a cup.,"https://b.zmtcdn.com/data/dish_photos/a51/8c03d7cc9c5d1ebcbec5d8e0f9aa2a51.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Origanal South Indian Frappe,₹414.75,₹414.75,NAN,"Experience the best of South India with our Original South India Frappe - a modern twist on the classic filter kaapi. We start with the finest quality coffee beans sourced from the region and carefully filter them to create a rich and aromatic base. Our expert baristas then blend this traditional filter kaapi with ice, milk and a touch of sweetness for a truly indulgent frappe experience.","https://b.zmtcdn.com/data/dish_photos/ee8/062edcacb745c3a6345aad20c59acee8.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Vietnamese,₹414.75,₹414.75,7 votes,"Savor the rich and bold flavors of our Vietnamese coffee. Made with strong coffee and sweetened condensed milk, this iced beverage is a must-try for coffee aficionados. Order now to experience the authentic taste of Vietnam.",NAN
Americano,₹252,₹252,8 votes,"A classic coffee made with hot water and a shot of espresso. Simple, yet satisfying.(A.K.A. Up All Night Recovery)","https://b.zmtcdn.com/data/dish_photos/932/05e32bc55a40d40066a4194e48832932.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Cafe Latte 350 Ml,₹309.75,₹309.75,6 votes,"Smooth, creamy coffee made with steamed milk and a shot of espresso. Perfect for those who prefer a milder coffee taste.","https://b.zmtcdn.com/data/dish_photos/4ea/b3b12171e81c3c2e610fe7594943c4ea.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Cafe Mocha,₹320.25,₹320.25,13 votes,A delicious blend of milk coffee and special dark cocoa from Madagascar. Indulge in the velvety texture of steamed milk and the intense flavor of cocoa.,"https://b.zmtcdn.com/data/dish_photos/642/58a23dd020e9eb543fd386965f826642.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Cappucino,₹309.75,₹309.75,9 votes,"Smooth, creamy coffee made with steamed milk and a shot of espresso. Perfect for those who prefer a milder coffee taste.","https://b.zmtcdn.com/data/dish_photos/7ec/a581a0eddc90e877772e20827c2737ec.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Double Restritto 44 Ml,₹165,₹165,NAN,"A traditional Indian coffee made with a unique blend of roasted coffee beans and chicory, served with frothy milk. A rich, flavorful brew that will transport you to the streets of South India.","https://b.zmtcdn.com/data/dish_photos/0a5/bb0aa96c114180f9cb4cc51dae3a90a5.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Espresso,₹189,₹189,NAN,"Bold, aromatic espresso shot that's sure to awaken your senses. This 30ml ""Wake Me Up"" Coffee Shot is perfect for an energizing start to your day.","https://b.zmtcdn.com/data/dish_photos/2b7/7a028f8274f94be38c7b2485dd1ca2b7.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Flat White 250 Ml,₹240,₹240,17 votes,A smooth and velvety coffee made with a double shot of espresso and steamed milk. Experience the perfect balance of rich espresso and silky milk.,"https://b.zmtcdn.com/data/dish_photos/ab5/fbd9c5c6e516cff2553fdf53daaedab5.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Irish Americano,₹309.75,₹309.75,NAN,"Our Irish Americano is a bold and satisfying drink that's perfect for any time of day. Featuring a double shot of rich espresso, this drink is served with warm water and a touch of sweet Irish syrup for a delightful balance of bitterness and sweetness. Order now to experience the perfect pick-me-up with a touch of Irish sweetness.",NAN
Kaapicino,₹294,₹294,NAN,A fusion of traditional South Indian filter coffee and frothy cappuccino. Experience the best of both worlds in every sip.,"https://b.zmtcdn.com/data/dish_photos/a1d/24f9f93a103b2d0966dc9e965d3f8a1d.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Sea Salt Dark Mocha,₹378,₹378,NAN,"Our Sea Salt Dark Mocha is a delicious blend of milk coffee and special cocoa sourced from Madagascar, savored with Konkan coastal sea salt. The unique combination of rich, dark cocoa and sea salt creates a flavor profile that's both savory and sweet. Enjoy the velvety texture of steamed milk and the complex flavors of this indulgent drink.","https://b.zmtcdn.com/data/dish_photos/07a/1bec3fd3d258a1e374bebaf6346c307a.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
South Indian Filter Kaapi,₹252,₹252,14 votes,"A traditional Indian coffee made with a unique blend of roasted coffee beans and chicory, served with frothy milk. A rich, flavorful brew that will transport you to the streets of South India.","https://b.zmtcdn.com/data/dish_photos/a5d/d482391bd9796c0b5561fd98bf3fda5d.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Hot Chocolate,₹367.50,₹367.50,6 votes,"Discover the unique flavors of our Matcha Frappe, made with green tea powder, milk, and ice, blended to perfection","https://b.zmtcdn.com/data/dish_photos/ed5/7d6ce34ce98f417db4c00c06f1aaaed5.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
Madagascar Hot Chocolate,₹395,₹395,NAN,,"https://b.zmtcdn.com/data/dish_photos/23c/09eb5c7f3d39ebad5f1393b5eb33223c.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*"
