Rating,Reviews,Timestamp,Delivery/Dining
5,"I had a fantastic experience at JavaPhile Lokhandwala! The ambiance was delightful, and the food was exceptional. Special thanks for joining us as the official food partner for our fest ""Illenium."" Your support added to the success of the event, and the judges truly enjoyed the delicious offerings. Kudos to your team for the remarkable service and delectable dishes! Looking forward to more memorable visits.",17 days ago,DELIVERY
5,I love the food and ambience,17 days ago,DINING
5,I am already in love with this restaurant and so will you be.,17 days ago,DELIVERY
5,amazing,17 days ago,DELIVERY
5,Amazing food,17 days ago,DINING
5,Beautiful blissful blooming,17 days ago,DINING
5,Loved the food and the ambience,17 days ago,DINING
5,"Amazingg foood, best coffees nice vibe",17 days ago,DELIVERY
5,Amazingggggg food! Clean and hygienic place love the atmosphere they have created aesthetic food,17 days ago,DELIVERY
5,It was the fav one ngl omg,17 days ago,DINING
5,very yummy. too good,17 days ago,DELIVERY
5,"amazing food, too good!",17 days ago,DINING
5,Excellent,17 days ago,DELIVERY
5,amazing food,17 days ago,DINING
5,Good,17 days ago,DINING
5,Perfect loved it,17 days ago,DINING
5,Aesthetic place loved the coffee,17 days ago,DINING
5,Good food,17 days ago,DELIVERY
5,Everything is spot on.,17 days ago,DINING
5,Crazy food!!! LOVED IT,17 days ago,DELIVERY
5,Loved it,17 days ago,DINING
5,NAN,one month ago,DELIVERY
5,Only delivery was super late,2 months ago,DELIVERY
5,NAN,2 months ago,DELIVERY
4,portion size was smaller than expected otherwise it's amazing,2 months ago,DELIVERY
1,I had requested for a refund due to spilled packaging. Pls expedite it,2 months ago,DELIVERY
5,NAN,2 months ago,DELIVERY
5,NAN,2 months ago,DELIVERY
4,NAN,3 months ago,DELIVERY
5,NAN,3 months ago,DELIVERY
1,"We ordered hot chocolates and they were very bad in taste. We had to literally throw of them away.

They were very very thick and had to ask the waiter to add more milk. That still didn't solve the issue.

We ordered

1. Hot Chocolate
2. Cinnamon Hot Chocolate
3. Salt Hot Chocolate",3 months ago,DELIVERY
5,Marshmallows were not delivered with the hot chocolate. The hot chocolate was neither hot. The whole point of ordering the hot chocolate was lost.,3 months ago,DELIVERY
5,"My friend is the one who suggested me this place and I must say this cafe exceeded my acceptations.
Such a beautiful cafe.
My favorite was the Strawberry Croissant and Sea Salt Mocha ♥️",6 months ago,DINING
5,the potion is extremely small but the price is still the same,7 months ago,DINING
1,"Great ambience !!
Peaceful place where one can set a meeting and work on their laptop quitely
Staff is nice
Loved their capucinno and tried their orange chocolate pastry too.
Superb",9 months ago,DINING
1,Best coffee!,"Feb 18, 2023",DINING
