Rating,Reviews,Timestamp,Delivery/Dining
5,"One of the best coffee place in juhu area, staff is very friendly and polite especially Sabina with smiley face always and Aftab who make the best classic frappe. Must try .",3 days ago,DINING
4,"Nice place to enjoy a cup of coffee, their signature filter coffee and baked pav bhaji is worth to try. Sabeena was great at hosting us and certainly has a most beautiful smile ☺️",4 days ago,DINING
1,NAN,6 days ago,DELIVERY
5,"I had a wonderful experience I was amazed by the Berliners and
staff here is very very sweet big shout out to Sabina and Priti they are the best",6 days ago,DINING
5,"amazing staff, lovely environment and what a pleasent way to start our day with delicious hot chocolate made by Jabbar, Priti and sabina...it is a must try..",6 days ago,DINING
5,The food and vibe was amazing. Sabina was a great host and I loved the coffeee and desserts😍,7 days ago,DINING
5,"I love the place and food a lot! Above all, love the staff and team behind it for the treatment of each of their customers. Sakina does a good job and is an asset for the space! Do fab, you guys and keep up the good work!",7 days ago,DINING
5,"A lovely experience as the staff was warm and had a sweet smile on their faces as we asked for recommendations. Both Sabina & Priti were a delight that fit the ambience and the aesthetic of the place. It was interesting to have a taste of the coffee prior to it being served to fit our taste.
Keep up the good job.! Shall visit again soon. 😊",8 days ago,DINING
5,"Sabina and Priti are super sweet, and make amazing coffee and conversations!!",8 days ago,DINING
5,"Very nice ambience, amazing place for snacking. Very nice staff sabina and priti are really sweet.",8 days ago,DINING
5,"This place is a must visit. Amazing staff, delicious coffee and a great ambience!
Sabina, Aftab and Dhruv made our coffee and served us, they had such a positive vibe and were extremely kind!",8 days ago,DINING
5,"Had a really great time , amazing coffee by Sabina , Aftab and Dhruv",10 days ago,DINING
4,Loved the place and the subtle vibes that it provides. Had come here completely confused on which coffee should I try and was assisted by Khushi who works here to try their signature hot coffee and it was totally worth the price.,10 days ago,DINING
5,"The coffee and service were fantastic, as were Berliners suggested by our friendly and helpful server, Sabina. We will definitely be returning. :)",13 days ago,DINING
5,The packaging for chips said Salted but the chips inside were Spicy.,13 days ago,DINING
5,Very good filter coffee joint,14 days ago,DINING
5,"The service was really good. Thanks to Sabina, Lakhi and Dhruv for recommending good coffee and snacks.",16 days ago,DINING
5,miss Sabina was so lively in hospitality and we particularly like the taster they provided before bringing a full drink.,19 days ago,DELIVERY
1,"The experience was really great and Specially Sabina(great Tamil speaker), Jabbar, the service and the way they explained the taste of different coffee was great. Special thanks to Asif and Lucky.",19 days ago,DELIVERY
5,"Lovely lil cafe in Juhu, warm hospitality and good coffee",one month ago,DELIVERY
5,"Loved the experience
The staff was extremely sweet, was served by sabina.
Looking forward to many more visits!",one month ago,DINING
5,NAN,one month ago,DINING
5,NAN,one month ago,DINING
5,Delivered wrong order,one month ago,DELIVERY
2,I didn’t receive exactly what I ordered,one month ago,DELIVERY
4,Asif shaikh is on point and makes amazing coffee worth a visit,one month ago,DINING
5,"Asif Shaikh makes a MEAN coffee! If you wanna try something new, try a Vietnamese frappe with a hint of salt. It changes the GAME!",one month ago,DINING
5,"Absolutely lovee this place. Good coffee n affordable. Best papaparoti 🤍 n the sweetest staff. Special shoutout to Asif for always smiling n remembering our coffee preference. If u r having a bad day, this place can bring a smile.",one month ago,DELIVERY
5,Asif shaikh and there team was very friendly i was new to mumbai and tried this cafe cappuccino was great even the ambience,one month ago,DINING
5,"Asif sheikh
Very good service and a very humble man",one month ago,DINING
5,"I come here every night.

Asif Sheikh knows how to make a great hot chocolate!",one month ago,DINING
5,"The coffee is amazing and the service is amazing, the server was Asif and was really polite",one month ago,DELIVERY
5,"service - was excellent they customized to our liking but coffee we had was ok.
ambience- sitting is not too pleasant. seems like the hotel reception staff is sitting with you. they should change arrangements. Other outside guests coming for rooms/hotel inquiry are also next to you.
coffee- maybe our choice was not right - South Indian filter coffee frappe was highly recommended by staff. it was sweet, thick, creamy but artificial creaminess type with thickner Or emulsifier. made with ready frappe mix, didn't enjoy the texture n it was too heavy.",one month ago,DELIVERY
1,"A quaint place in the premises of Juhu Residency, this place surprised me. Asif Shaikh gave us impeccable service. He took care the coffee was as we like to have it. You are served complimentary banana chips the moment you seat yourself. My suggestion - serve your coffee with plant based milk also. Indoor seating is limited but there is ample tables on the curbside. A cafe one will love to go back to.",one month ago,DELIVERY
1,"Not only was the coffee excellent, the service was excellent too. there's a young lady and a man at the counter, who were both extremely pleasant, heard my kid just mention he's hungry, and gave some complimentary banana wafers. That's next level customer care.",one month ago,DELIVERY
5,Had an iced latte and a filter coffee with some savouries which was fresh and tasty...definitely shall visit again. Recomendations by Sabeena what to order and courtesy by other staff was helpful.,2 months ago,DELIVERY
5,It was supposed to be a vietnamese coffee and did not taste like one at all. Tasted like normal cold coffee with vanilla icecream instead of the condensed milk!,2 months ago,DINING
5,Very cold and stale … also very small size…. Give me refund,2 months ago,DELIVERY
5,"The signature cold coffee is so different and delicious. Sabina was absolutely the nicest staffer I've come across and got all our requirements (no sugar, less sugar) just on point!",2 months ago,DELIVERY
5,"guys dish ka naam dekhlo ache sey dono bhi, plz mat order karna😂🙏🏻 they're just fooling us it was jst a mini vadapav type thing in the name of keema pav and a damn small sandwich , well played guys 🤣",2 months ago,DELIVERY
5,best coffee place in the whole of Mumbai,2 months ago,DELIVERY
5,"It was a very nice experience, berliners were awesome and tart was superb. You should definitely try this place. Staff is so good, cheerful and nice, store manager was the sweetest",2 months ago,DELIVERY
5,"This is the cutest coffee shop with the cutest staff . The service is amazing. Go find Sabina at Ettarra she makes the best coffee in the city, she’s outstanding and extremely warm. I always order my regular classic frappe and it never goes wrong. One of the best things is that she always gives you tasters for your coffee order☕️

Big shout out to Sabina and the staff there.",2 months ago,DELIVERY
5,"The best coffee

I am a regular at etarra, the frappe made by Sabina is the best frappe I have had in Mumbai , she is extremely warm and sweet and is excellent at customer management , I would highly recommend this place for coffee , it’s a small joint but nonetheless the coffee and service is impeccable",2 months ago,DINING
5,NAN,2 months ago,DINING
5,Took my order and didn’t deliver my coffee,2 months ago,DELIVERY
