Rating,Reviews,Timestamp,Delivery/Dining
1,NAN,yesterday,DELIVERY
5,NAN,yesterday,DELIVERY
5,Excellent taste of French vanilla n good recommendation from Dear SANA thanks 😊,3 days ago,DELIVERY
1,NAN,4 days ago,DELIVERY
1,NAN,5 days ago,DELIVERY
2,too expensive for a normal cheese sandiwch,5 days ago,DINING
5,Loved the service and food amazing must try!!!,6 days ago,DINING
1,Had mentioned no ice n less cold,6 days ago,DELIVERY
5,NAN,7 days ago,DELIVERY
4,NAN,8 days ago,DELIVERY
4,NAN,8 days ago,DELIVERY
5,great place to visit. comfy atmosphere and great tasting food,8 days ago,DINING
1,There was no coffee in that coffee,8 days ago,DELIVERY
5,but i told them to serve hot but it was served cold,9 days ago,DELIVERY
5,NAN,9 days ago,DELIVERY
5,mayank and Abhishek were very helpful,10 days ago,DINING
5,NAN,10 days ago,DELIVERY
2,NAN,11 days ago,DELIVERY
5,NAN,12 days ago,DELIVERY
5,NAN,14 days ago,DELIVERY
1,very dry doughnuts look3d like they hv been kept over nite,14 days ago,DELIVERY
5,NAN,15 days ago,DELIVERY
1,"It’s half full , doesn’t even look like a cold coffee which is my usual everyday order",16 days ago,DELIVERY
4,NAN,18 days ago,DELIVERY
5,"Nilesh from Bandra linking road store gave us amazing americano and straberry shake.
Very Happy with service 😊😊😊",18 days ago,DINING
5,NAN,18 days ago,DELIVERY
5,NAN,20 days ago,DELIVERY
5,NAN,21 days ago,DELIVERY
4,NAN,23 days ago,DELIVERY
3,NAN,23 days ago,DELIVERY
1,Very late delivery,23 days ago,DELIVERY
4,NAN,24 days ago,DELIVERY
5,NAN,25 days ago,DELIVERY
3,"the bread for the sliders was a bit hard and the contents of the package didn't retain its shape.

For the choc filled timbit, 3 pieces were shown in the pic but only 1 piece was provided!",26 days ago,DELIVERY
5,NAN,26 days ago,DELIVERY
1,These people do not have outside seating but on Zomato it is listed as one.,28 days ago,DINING
5,NAN,28 days ago,DELIVERY
5,NAN,28 days ago,DELIVERY
